id,name,type,discription
104,laptop asus tuf gaming a17 fa706iu-h7133t,laptop,"laptop asus tuf gaming a17 fa706iu-h7133tcpu: amd ryzen r7-4800h (2.90ghz upto 4.20ghz, 8mb) ram: 8gb ddr4 3200mhz (2x so-dimm slots) ổ cứng: 512gb pcie ssd vga: nvidia geforce gtx 1660ti 6gb gddr6 màn hình: 17.3 inch fhd ips. non-glare, 120hz nanoedge pin: 4cell, 90whrs cân nặng: 2.6kg tính năng: đèn nền bàn phím os: windows 10 sl "
103,laptop asus vivobook a412da-ek346t,laptop,"laptop asus vivobook a412da-ek346tcpu: amd ryzen™ 3 3200u (2.6ghz upto 3.5ghz, 5mb) ram: 4gb ddr4+ 1slot ổ cứng: 512gb ssd vga: amd radeon™ vega 3 graphics màn hình: 14.0\"" fhd (1920 x1080) tn anti-glare, ntsc 45%, 200nits led os: windows 10 home pin: 2-cell, 37whrs cân nặng: 1.70 kg tính năng: bảo mật vân tay,… "
101,laptop asus e210ma-gj083t,laptop,"laptop asus e210ma-gj083tcpu: intel® celeron® n4020 (1.10ghz upto 2.80ghz, 4mb) ram: 4gb ddr4 2400mhz onboard ổ cứng: 128gb pcie® gen3 x2 ssd vga: intel® uhd graphics 600 màn hình: 12.0 inch (16:9) led-backlit hd (1366x768) 60hz anti-glare panel with 45% ntsc pin: 2 cell, 38 wh cân nặng: 1.05 kg màu sắc: peacock blue os: windows 10 home "
102,laptop asus expertbook p1510cja-ej788t,laptop,"laptop asus expertbook p1510cja-ej788tcpu: intel® core™ i5-1035g1 (1.00ghz upto 3.60ghz, 6mb) ram: 4gb ddr4 on board + 4gb ddr4 so-dimm (1 khe) ổ cứng: 512gb m.2 nvme™ pcie® 3.0 ssd vga: integrated intel uhd graphics màn hình: 15.6 inch (16:9) led-backlit fhd (1920x1080) 60hz anti-glare panel with 45% ntsc pin: 2 -cell, 32 wh cân nặng: 1.8 kg tính năng: bảo mật vân tay os: windows 10 home "
100,laptop asus rog zephyrus g14 ga401iu-ha181t,laptop,"laptop asus rog zephyrus g14 ga401iu-ha181tos: windows 10 home màu sắc: moonlight white anime matrix version pin: 4cell, 76whr cân nặng: 1.70 kg màn hình: 14-inch qhd (2560 x 1440) 16:9 ips 60hz vga: nvidia® geforce® gtx 1660 ti 6gb gddr6 ổ cứng: 512gb m.2 nvme™ pcie® 3.0 ssd ram: 16gb (8gb ddr4 on board + 8gb ddr4-3200 so-dimm) (1 khe, tối đa 24gb) cpu: amd ryzen™ 7 4800hs processor (2.9ghz up to 4.2 ghz, 8m cache) "
99,laptop asus vivobook s15 s533jq-bq016t - trắng,laptop,"laptop asus vivobook s15 s533jq-bq016t - trắngos: windows 10 sl màu sắc: trắng tính năng: bảo mật vân tay cân nặng: 1.8kg pin: 3-cell, 50whrs màn hình: 15.6 inch đèn nền led full hd (1920 x 1080) 16:9. ips vga: nvidia geforce mx350 2gb gddr5 ổ cứng: 512gb ssd m.2 pcie g3x2 ram: 8gb ddr4 2666mhz cpu: intel® core™ i5-1035g1 (1.00ghz upto 3.60ghz, 6mb) "
98,laptop asus rog strix g15 g512l-uhn145t,laptop,"laptop asus rog strix g15 g512l-uhn145tos: windows 10 home màu sắc: đen tính năng: đèn nền bàn phím cân nặng: 2.3kg pin: 4-cell, 66whrs màn hình: 15.6 inch fhd (1920×1080) ips, 144hz vga: nvidia® geforce gtx1660ti 6gb gddr6 ổ cứng: 512gb m.2 nvme™ pcie® 3.0 ssd ram: 8gb ddr4 3200mhz (2x so-dimm socket, up to 32gb sdram) cpu: intel® core™ i7-10750h (2.60ghz upto 5.00ghz, 12mb) "
97,laptop asus 15 x509ma-br269t,laptop,"laptop asus 15 x509ma-br269ttính năng: bảo mật vân tay,… os: windows 10 home cân nặng: 1.8 kg pin: 2 -cell, 32 wh màn hình: 15.6 inch (16:9) led-backlit fhd (1920x1080) 60hz anti-glare panel with 45% ntsc vga: intel® uhd graphics 600 ổ cứng: 1tb 5400rpm ram: 4gb ddr4 cpu: intel celeron n4020 (1.10ghz upto 2.80ghz, 4mb) "
96,laptop asus tuf gaming a17 fa706ih-h7014t,laptop,"laptop asus tuf gaming a17 fa706ih-h7014tos: windows 10 home màu sắc: xám tính năng: bảo mật vân tay,… cân nặng: 2.6 kg pin: 48 wh màn hình: 17.3 inch (16:9) led-backlit fhd (1920x1080) anti-glare panel with 45% ntsc vga: nvidia geforce gtx 1650 4gb gddr6 ổ cứng: 512gb pcie® gen3 ssd ram: 8gb ddr4 3200mhz (2 khe, tối đa 32gb) cpu: amd ryzen™ 5-4600h (3.00ghz upto 4.00ghz, 8mb) "
95,laptop asus tuf gaming a15 fa506ih-al016t,laptop,"laptop asus tuf gaming a15 fa506ih-al016tos: windows 10 home cân nặng: 2.3kg pin: 3 cell, 48whr màn hình: 15.6 inch fhd (1920 x 1080) ips, 144hz vga: nvidia geforce gtx 1650ti 4gb gddr6 ổ cứng: 512gb ssd m.2 pcie g3x2, 1x slot sata3 2.5\"" ram: 8gb ddr4 3200mhz (2x so-dimm socket, up to 32gb sdram) cpu: amd ryzen 7-4800h(2.90ghz upto 4.20ghz, 8mb) "
94,laptop asus tuf gaming fx505dt-hn488t - 144hz,laptop,"laptop asus tuf gaming fx505dt-hn488t - 144hztính năng: đèn nền bàn phím pin: 3 cell, 48whrs cân nặng: 2.2 kg os: windows 10 sl màn hình: 15.6 inch fhd (1920*1080) ips, non-glare, 144hz vga: nvidia geforce gtx 1650 4gb ddr5 hdd: 512gb pcie® gen3 ssd ram: 8gb ddr4 2666mhz + 1slot cpu: amd ryzen 5-3550h (2.10 upto 3.70ghz, 4 nhân 8 luồng, 4mb) "
93,laptop asus tuf gaming a15 fa506ih-al018t,laptop,"laptop asus tuf gaming a15 fa506ih-al018tos: windows 10 home cân nặng: 2.3kg pin: 3 cell, 48whr màn hình: 15.6 inch fhd (1920 x 1080) ips, 144hz vga: nvidia geforce gtx 1650 4gb gddr6 ổ cứng: 512gb ssd m.2 pcie g3x2, 1x slot sata3 2.5\"" ram: 8gb ddr4 3200mhz (2x so-dimm socket, up to 32gb sdram) cpu: amd ryzen 5-4600h (3.00ghz upto 4.00ghz, 8mb) "
92,laptop asus vivobook a412fj-ek388t,laptop,"laptop asus vivobook a412fj-ek388ttính năng: bảo mật vân tay cân nặng: 1.5kg pin: 2-cell 37whrs os: windows 10 màn hình: 14\"" fhd (1920*1080) vga: nvidia geforce® mx230 2gb gddr5 ổ cứng: 512gb ssd ram: 8gb(2*4gb)ddr4 2400mhz cpu: intel® core™ i7-10510u(1.80ghz upto 4.90ghz, 8mb) "
91,laptop asus d409da-ek152t,laptop,"laptop asus d409da-ek152ttính năng: bảo mật vân tay os: windows 10 màn hình: 14 inch fhd tn 200nits anti-glare ntsc 45% vga: radeon™ vega 8 graphics ổ cứng: 256gb pcie ssd ram: 4gb ddr4 + 1lost cpu: amd ryzen™ r5-3500u (2.1ghz upto 3.7ghz, 6mb) "
